rank,company,revenue,profit,num. of employees,sector,city,state,Website
295,eBay,10800,1786,13300,Technology,San Jose,CA,https://www.ebay.com
296,Boston Scientific,10735,4700,36000,Health Care,Marlborough,MA,https://www.bostonscientific.com
297,ODP,10647,99,40000,Retailing,Boca Raton,FL,https://www.officedepot.com
298,Molson Coors Beverage,10579.4,241.7,17700,"Food, Beverages & Tobacco",Denver,CO,https://www.molsoncoors.com
299,Steel Dynamics,10465,671.1,8385,Materials,Fort Wayne,IN,https://www.steeldynamics.com
300,Mutual of Omaha Insurance,10455.7,271.5,6072,Financials,Omaha,NE,https://www.mutualofomaha.com
301,Sonic Automotive,10454.3,144.1,9300,Retailing,Charlotte,NC,https://www.sonicautomotive.com
302,Alcoa,10433,-1125,13800,Materials,Pittsburgh,PA,https://www.alcoa.com
303,Fidelity National Information Services,10333,298,55000,Business Services,Jacksonville,FL,https://www.fisglobal.com
304,Henry Schein,10305.3,694.7,19000,Health Care,Melville,NY,https://www.henryschein.com
